ALGO,SIZE,COND,SECONDS
merge,100,random,0.0002812000457197428
quick,100,random,0.00034639996010810137
merge,100,near,0.00021440000273287296
quick,100,near,0.000278300023637712
merge,100,rev,0.00020210002548992634
quick,100,rev,0.0002804000396281481
merge,500,random,0.001590200001373887
quick,500,random,0.0017110999906435609
merge,500,near,0.0013837999431416392
quick,500,near,0.0017397000920027494
merge,500,rev,0.0011427999706938863
quick,500,rev,0.001496500102803111
merge,1000,random,0.003812100039795041
quick,1000,random,0.002808299963362515
merge,1000,near,0.0031986000249162316
quick,1000,near,0.003713299985975027
merge,1000,rev,0.0024529999354854226
quick,1000,rev,0.0033438999671489
